pX,pY,pZ,roll,pitch,yaw,timestep
0.04000002,0.07186779,0.04392183,0.0002680844,-0.0002296657,-0.0002484487,1481787
0.04000002,0.07186779,0.04392183,0.0002680844,-0.0002296657,-0.0002484487,1498428
0.04000002,0.08022586,0.04941204,0.0003065041,-0.0002322272,-0.0002936987,1516889
0.04000002,0.08022586,0.04941204,0.000340655,-0.0002330812,-0.0003440715,1531621
0.04000002,0.08858395,0.05490229,0.0003816361,-0.0002343621,-0.0003824914,1550710
0.05000001,0.08858395,0.05490229,0.0004294472,-0.0002330818,-0.0004388405,1566682
0.05000001,0.09694201,0.0603925,0.0004695745,-0.0002364973,-0.0004804621,1583716
0.05000001,0.1053001,0.06588274,0.000500737,-0.0002390589,-0.0005383053,1600116
0.05000001,0.1136582,0.07137296,0.000500737,-0.0002390589,-0.0005383053,1613934
0.05000001,0.1303743,0.08235341,0.0005344611,-0.0002407669,-0.000589105,1633760
0.06,0.1387324,0.08784363,0.0005733076,-0.0002544277,-0.0006364895,1648043
0.06,0.1387324,0.08784363,0.0006113003,-0.0002544282,-0.0006941193,1664933
0.06999999,0.1470904,0.09333387,0.0006488662,-0.0002629665,-0.0007449189,1680935
0.06999999,0.1554485,0.09882411,0.0006488662,-0.0002629665,-0.0007449189,1695707
0.06999999,0.1638066,0.1043143,0.0006864321,-0.0002638208,-0.0007923034,1717176
0.06999999,0.1721647,0.1098045,0.000727413,-0.0002672365,-0.0008401149,1733721
0.07999998,0.1721647,0.1098045,0.0007718091,-0.0002834588,-0.0008896339,1745364
0.07999998,0.1805227,0.1152948,0.0008068138,-0.0002848468,-0.0009323228,1766747
0.07999998,0.1805227,0.1152948,0.0008068138,-0.0002848468,-0.0009323228,1779551
0.07999998,0.1888808,0.120785,0.0008435259,-0.0002962667,-0.0009788538,1799711
0.08999997,0.1888808,0.120785,0.0008827993,-0.0002954136,-0.001027092,1813695
0.08999997,0.1888808,0.120785,0.0009220727,-0.0002984025,-0.001073196,1832202
0.08999997,0.205597,0.1317655,0.0009587848,-0.0003022452,-0.001119727,1849383
0.08999997,0.205597,0.1317655,0.001002327,-0.0003052343,-0.001174368,1864275
0.08999997,0.213955,0.1372557,0.001042454,-0.0003065159,-0.001232425,1882390
0.08999997,0.2223131,0.1427459,0.001087277,-0.000302248,-0.001277248,1900284
0.1,0.2306712,0.1482361,0.001087277,-0.000302248,-0.001277248,1912536
0.11,0.2306712,0.1482361,0.001130393,-0.0003082253,-0.00131951,1927962
0.11,0.2473873,0.1592166,0.001179885,-0.0003176178,-0.001361666,1951503
0.11,0.2473873,0.1592166,0.0012226,-0.0003142036,-0.001399552,1964921
0.12,0.2557454,0.1647068,0.001256751,-0.0003176197,-0.001453126,1983360
0.12,0.2641035,0.1701971,0.001256751,-0.0003176197,-0.001453126,1999042
0.12,0.2641035,0.1701971,0.001294317,-0.0003212492,-0.001491759,2015169
0.12,0.2724615,0.1756873,0.001325052,-0.000320183,-0.001548109,2033739
0.12,0.2724615,0.1756873,0.001361337,-0.0003167688,-0.001579485,2048256
0.12,0.2724615,0.1756873,0.001396769,-0.0003218924,-0.001624735,2067322
0.12,0.2891777,0.1866677,0.001435615,-0.0003189054,-0.001669985,2081540
0.12,0.2975358,0.192158,0.001435615,-0.0003189054,-0.001669985,2098974
0.12,0.3058938,0.1976482,0.001477023,-0.0003159184,-0.001719504,2117394
